State FIPS Code,County FIPS Code,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,41393176.00,41149497.00,41636855.00,12.80,12.70,12.90
1,0,AL,Alabama,800848.00,782169.00,819527.00,16.30,15.90,16.70
1,1,AL,Autauga County,6296.00,4772.00,7820.00,10.70,8.10,13.30
1,3,AL,Baldwin County,25526.00,21599.00,29453.00,10.80,9.10,12.50
1,5,AL,Barbour County,5089.00,3773.00,6405.00,23.00,17.00,29.00
1,7,AL,Bibb County,4204.00,3324.00,5084.00,20.60,16.30,24.90
1,9,AL,Blount County,6992.00,5516.00,8468.00,12.00,9.50,14.50
1,11,AL,Bullock County,2764.00,2161.00,3367.00,32.10,25.10,39.10
1,13,AL,Butler County,4226.00,3385.00,5067.00,22.70,18.20,27.20
1,15,AL,Calhoun County,21630.00,18671.00,24589.00,19.20,16.60,21.80
1,17,AL,Chambers County,6699.00,5333.00,8065.00,19.70,15.70,23.70
1,19,AL,Cherokee County,4513.00,3675.00,5351.00,18.20,14.80,21.60
1,21,AL,Chilton County,6973.00,5520.00,8426.00,15.50,12.30,18.70
1,23,AL,Choctaw County,2893.00,2303.00,3483.00,23.30,18.50,28.10
1,25,AL,Clarke County,4366.00,3390.00,5342.00,19.40,15.10,23.70
1,27,AL,Clay County,2560.00,2083.00,3037.00,18.40,15.00,21.80
1,29,AL,Cleburne County,2236.00,1723.00,2749.00,15.00,11.60,18.40
1,31,AL,Coffee County,8516.00,7320.00,9712.00,15.90,13.70,18.10
1,33,AL,Colbert County,9396.00,7821.00,10971.00,16.50,13.70,19.30
1,35,AL,Conecuh County,2528.00,1893.00,3163.00,22.40,16.80,28.00
1,37,AL,Coosa County,1754.00,1305.00,2203.00,17.10,12.70,21.50
1,39,AL,Covington County,7317.00,6099.00,8535.00,19.80,16.50,23.10
1,41,AL,Crenshaw County,2267.00,1722.00,2812.00,17.50,13.30,21.70
1,43,AL,Cullman County,11898.00,9659.00,14137.00,13.50,11.00,16.00
1,45,AL,Dale County,7587.00,6146.00,9028.00,15.70,12.70,18.70
1,47,AL,Dallas County,10914.00,8700.00,13128.00,29.50,23.50,35.50
1,49,AL,DeKalb County,13783.00,11773.00,15793.00,19.40,16.60,22.20
1,51,AL,Elmore County,10138.00,8210.00,12066.00,12.00,9.70,14.30
1,53,AL,Escambia County,8147.00,6711.00,9583.00,23.80,19.60,28.00
1,55,AL,Etowah County,17605.00,14857.00,20353.00,17.40,14.70,20.10
1,57,AL,Fayette County,3123.00,2513.00,3733.00,19.60,15.80,23.40
1,59,AL,Franklin County,5995.00,4822.00,7168.00,18.90,15.20,22.60
1,61,AL,Geneva County,5566.00,4539.00,6593.00,21.10,17.20,25.00
1,63,AL,Greene County,2520.00,1994.00,3046.00,33.20,26.30,40.10
1,65,AL,Hale County,3221.00,2452.00,3990.00,22.10,16.80,27.40
1,67,AL,Henry County,2694.00,2063.00,3325.00,15.60,11.90,19.30
1,69,AL,Houston County,20210.00,18330.00,22090.00,19.10,17.30,20.90
1,71,AL,Jackson County,9851.00,8426.00,11276.00,18.90,16.20,21.60
1,73,AL,Jefferson County,110131.00,101051.00,119211.00,16.90,15.50,18.30
1,75,AL,Lamar County,2300.00,1751.00,2849.00,17.00,12.90,21.10
1,77,AL,Lauderdale County,14838.00,12398.00,17278.00,16.20,13.50,18.90
1,79,AL,Lawrence County,4566.00,3383.00,5749.00,13.90,10.30,17.50
1,81,AL,Lee County,30989.00,27246.00,34732.00,18.00,15.80,20.20
1,83,AL,Limestone County,10363.00,8335.00,12391.00,9.90,8.00,11.80
1,85,AL,Lowndes County,2786.00,2207.00,3365.00,28.30,22.40,34.20
1,87,AL,Macon County,4725.00,3675.00,5775.00,27.50,21.40,33.60
1,89,AL,Madison County,39316.00,33460.00,45172.00,10.20,8.70,11.70
1,91,AL,Marengo County,4602.00,3718.00,5486.00,24.60,19.90,29.30
1,93,AL,Marion County,5209.00,4170.00,6248.00,18.30,14.70,21.90
1,95,AL,Marshall County,15145.00,12505.00,17785.00,15.60,12.90,18.30
1,97,AL,Mobile County,74061.00,65882.00,82240.00,18.20,16.20,20.20
1,99,AL,Monroe County,4349.00,3458.00,5240.00,22.30,17.70,26.90
1,101,AL,Montgomery County,47309.00,41969.00,52649.00,21.70,19.30,24.10
1,103,AL,Morgan County,16459.00,13612.00,19306.00,13.50,11.20,15.80
1,105,AL,Perry County,2591.00,1982.00,3200.00,33.70,25.80,41.60
1,107,AL,Pickens County,3591.00,2751.00,4431.00,21.10,16.20,26.00
1,109,AL,Pike County,7429.00,6243.00,8615.00,23.90,20.10,27.70
1,111,AL,Randolph County,4652.00,3872.00,5432.00,21.50,17.90,25.10
1,113,AL,Russell County,12620.00,10520.00,14720.00,21.70,18.10,25.30
1,115,AL,St. Clair County,11652.00,9443.00,13861.00,12.80,10.40,15.20
1,117,AL,Shelby County,17306.00,14397.00,20215.00,7.70,6.40,9.00
1,119,AL,Sumter County,4005.00,3224.00,4786.00,35.10,28.30,41.90
1,121,AL,Talladega County,14936.00,12409.00,17463.00,19.10,15.90,22.30
1,123,AL,Tallapoosa County,7420.00,6052.00,8788.00,18.30,14.90,21.70
1,125,AL,Tuscaloosa County,31735.00,26867.00,36603.00,14.70,12.40,17.00
1,127,AL,Walker County,12877.00,10967.00,14787.00,20.20,17.20,23.20
1,129,AL,Washington County,3091.00,2505.00,3677.00,20.60,16.70,24.50
1,131,AL,Wilcox County,3340.00,2578.00,4102.00,32.40,25.00,39.80
1,133,AL,Winston County,4455.00,3624.00,5286.00,19.00,15.40,22.60
2,0,AK,Alaska,77736.00,74178.00,81294.00,10.80,10.30,11.30
2,13,AK,Aleutians East Borough,625.00,455.00,795.00,18.40,13.40,23.40
2,16,AK,Aleutians West Census Area,505.00,389.00,621.00,10.40,8.00,12.80
2,20,AK,Anchorage Borough,26920.00,23537.00,30303.00,9.50,8.30,10.70
2,50,AK,Bethel Census Area,4496.00,3667.00,5325.00,24.60,20.10,29.10
2,60,AK,Bristol Bay Borough,93.00,69.00,117.00,11.30,8.40,14.20
2,63,AK,Chugach Census Area,530.00,392.00,668.00,7.70,5.70,9.70
2,66,AK,Copper River Census Area,375.00,286.00,464.00,14.30,10.90,17.70
2,68,AK,Denali Borough,115.00,87.00,143.00,7.50,5.70,9.30
2,70,AK,Dillingham Census Area,1033.00,796.00,1270.00,21.80,16.80,26.80
2,90,AK,Fairbanks North Star Borough,7247.00,5739.00,8755.00,7.90,6.20,9.60
2,100,AK,Haines Borough,223.00,167.00,279.00,10.80,8.10,13.50
2,105,AK,Hoonah-Angoon Census Area,395.00,296.00,494.00,17.00,12.80,21.20
2,110,AK,Juneau Borough,2378.00,1842.00,2914.00,7.60,5.90,9.30
2,122,AK,Kenai Peninsula Borough,6729.00,5506.00,7952.00,11.50,9.40,13.60
2,130,AK,Ketchikan Gateway Borough,1529.00,1250.00,1808.00,11.30,9.20,13.40
2,150,AK,Kodiak Island Borough,1072.00,828.00,1316.00,8.50,6.60,10.40
2,158,AK,Kusilvak Census Area,2534.00,2006.00,3062.00,30.40,24.10,36.70
2,164,AK,Lake and Peninsula Borough,290.00,221.00,359.00,20.60,15.70,25.50
2,170,AK,Matanuska-Susitna Borough,11453.00,9900.00,13006.00,10.50,9.10,11.90
2,180,AK,Nome Census Area,1920.00,1524.00,2316.00,19.80,15.70,23.90
2,185,AK,North Slope Borough,1354.00,1010.00,1698.00,12.40,9.20,15.60
2,188,AK,Northwest Arctic Borough,1560.00,1219.00,1901.00,20.90,16.30,25.50
2,195,AK,Petersburg Borough,269.00,205.00,333.00,8.00,6.10,9.90
2,198,AK,Prince of Wales-Hyder Census Area,859.00,642.00,1076.00,15.00,11.20,18.80
2,220,AK,Sitka Borough,717.00,552.00,882.00,8.60,6.60,10.60
2,230,AK,Skagway Municipality,69.00,52.00,86.00,6.10,4.60,7.60
2,240,AK,Southeast Fairbanks Census Area,890.00,678.00,1102.00,12.90,9.80,16.00
2,275,AK,Wrangell City and Borough,231.00,175.00,287.00,11.30,8.50,14.10
2,282,AK,Yakutat Borough,86.00,64.00,108.00,12.20,9.10,15.30
2,290,AK,Yukon-Koyukuk Census Area,1240.00,957.00,1523.00,23.70,18.30,29.10
4,0,AZ,Arizona,919680.00,900349.00,939011.00,12.90,12.60,13.20
4,1,AZ,Apache County,18422.00,16244.00,20600.00,28.40,25.00,31.80
4,3,AZ,Cochise County,20618.00,17832.00,23404.00,17.10,14.80,19.40
4,5,AZ,Coconino County,22677.00,19669.00,25685.00,16.90,14.70,19.10
4,7,AZ,Gila County,8900.00,7003.00,10797.00,16.80,13.20,20.40
4,9,AZ,Graham County,7385.00,6118.00,8652.00,20.40,16.90,23.90
4,11,AZ,Greenlee County,886.00,672.00,1100.00,9.50,7.20,11.80
4,12,AZ,La Paz County,3303.00,2569.00,4037.00,20.30,15.80,24.80
4,13,AZ,Maricopa County,502224.00,483320.00,521128.00,11.30,10.90,11.70
4,15,AZ,Mohave County,38383.00,34152.00,42614.00,18.00,16.00,20.00
4,17,AZ,Navajo County,26324.00,22972.00,29676.00,24.80,21.60,28.00
4,19,AZ,Pima County,151169.00,140902.00,161436.00,14.70,13.70,15.70
4,21,AZ,Pinal County,45630.00,39199.00,52061.00,10.70,9.20,12.20
4,23,AZ,Santa Cruz County,9723.00,8029.00,11417.00,20.40,16.90,23.90
4,25,AZ,Yavapai County,29766.00,25619.00,33913.00,12.50,10.80,14.20
4,27,AZ,Yuma County,34270.00,29508.00,39032.00,17.30,14.90,19.70
5,0,AR,Arkansas,471195.00,458260.00,484130.00,16.00,15.60,16.40
5,1,AR,Arkansas County,2923.00,2249.00,3597.00,17.70,13.60,21.80
5,3,AR,Ashley County,3950.00,3232.00,4668.00,21.30,17.40,25.20
5,5,AR,Baxter County,5565.00,4603.00,6527.00,13.40,11.10,15.70
5,7,AR,Benton County,22890.00,19033.00,26747.00,7.90,6.60,9.20
5,9,AR,Boone County,4860.00,3726.00,5994.00,13.00,10.00,16.00
5,11,AR,Bradley County,2011.00,1530.00,2492.00,19.60,14.90,24.30
5,13,AR,Calhoun County,672.00,508.00,836.00,14.60,11.00,18.20
5,15,AR,Carroll County,4717.00,3827.00,5607.00,16.80,13.60,20.00
5,17,AR,Chicot County,2594.00,2046.00,3142.00,27.90,22.00,33.80
5,19,AR,Clark County,3699.00,2925.00,4473.00,20.00,15.80,24.20
5,21,AR,Clay County,2543.00,1981.00,3105.00,17.90,13.90,21.90
5,23,AR,Cleburne County,4109.00,3426.00,4792.00,16.70,13.90,19.50
5,25,AR,Cleveland County,1054.00,798.00,1310.00,14.10,10.70,17.50
5,27,AR,Columbia County,4777.00,3875.00,5679.00,23.20,18.80,27.60
5,29,AR,Conway County,3494.00,2803.00,4185.00,16.90,13.50,20.30
5,31,AR,Craighead County,19674.00,17080.00,22268.00,18.20,15.80,20.60
5,33,AR,Crawford County,8790.00,7067.00,10513.00,14.70,11.80,17.60
5,35,AR,Crittenden County,10706.00,8845.00,12567.00,23.00,19.00,27.00
5,37,AR,Cross County,2738.00,2093.00,3383.00,16.70,12.80,20.60
5,39,AR,Dallas County,1213.00,923.00,1503.00,20.20,15.40,25.00
