State FIPS Code,County FIPS Code,Postal Code,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,,,,,,,,,,,,,,,,,,
0,0,US,United States,"41,393,176","41,149,497","41,636,855",12.8,12.7,12.9,,,,,,,,,,,,,,,,,,
1,0,AL,Alabama,"800,848","782,169","819,527",16.3,15.9,16.7,,,,,,,,,,,,,,,,,,
1,1,AL,Autauga County,"6,296","4,772","7,820",10.7,8.1,13.3,,,,,,,,,,,,,,,,,,
1,3,AL,Baldwin County,"25,526","21,599","29,453",10.8,9.1,12.5,,,,,,,,,,,,,,,,,,
1,5,AL,Barbour County,"5,089","3,773","6,405",23,17,29,,,,,,,,,,,,,,,,,,
1,7,AL,Bibb County,"4,204","3,324","5,084",20.6,16.3,24.9,,,,,,,,,,,,,,,,,,
1,9,AL,Blount County,"6,992","5,516","8,468",12,9.5,14.5,,,,,,,,,,,,,,,,,,
1,11,AL,Bullock County,"2,764","2,161","3,367",32.1,25.1,39.1,,,,,,,,,,,,,,,,,,
1,13,AL,Butler County,"4,226","3,385","5,067",22.7,18.2,27.2,,,,,,,,,,,,,,,,,,
1,15,AL,Calhoun County,"21,630","18,671","24,589",19.2,16.6,21.8,,,,,,,,,,,,,,,,,,
1,17,AL,Chambers County,"6,699","5,333","8,065",19.7,15.7,23.7,,,,,,,,,,,,,,,,,,
1,19,AL,Cherokee County,"4,513","3,675","5,351",18.2,14.8,21.6,,,,,,,,,,,,,,,,,,
1,21,AL,Chilton County,"6,973","5,520","8,426",15.5,12.3,18.7,,,,,,,,,,,,,,,,,,
1,23,AL,Choctaw County,"2,893","2,303","3,483",23.3,18.5,28.1,,,,,,,,,,,,,,,,,,
1,25,AL,Clarke County,"4,366","3,390","5,342",19.4,15.1,23.7,,,,,,,,,,,,,,,,,,
1,27,AL,Clay County,"2,560","2,083","3,037",18.4,15,21.8,,,,,,,,,,,,,,,,,,
1,29,AL,Cleburne County,"2,236","1,723","2,749",15,11.6,18.4,,,,,,,,,,,,,,,,,,
1,31,AL,Coffee County,"8,516","7,320","9,712",15.9,13.7,18.1,,,,,,,,,,,,,,,,,,
1,33,AL,Colbert County,"9,396","7,821","10,971",16.5,13.7,19.3,,,,,,,,,,,,,,,,,,
1,35,AL,Conecuh County,"2,528","1,893","3,163",22.4,16.8,28,,,,,,,,,,,,,,,,,,
1,37,AL,Coosa County,"1,754","1,305","2,203",17.1,12.7,21.5,,,,,,,,,,,,,,,,,,
1,39,AL,Covington County,"7,317","6,099","8,535",19.8,16.5,23.1,,,,,,,,,,,,,,,,,,
1,41,AL,Crenshaw County,"2,267","1,722","2,812",17.5,13.3,21.7,,,,,,,,,,,,,,,,,,
1,43,AL,Cullman County,"11,898","9,659","14,137",13.5,11,16,,,,,,,,,,,,,,,,,,
1,45,AL,Dale County,"7,587","6,146","9,028",15.7,12.7,18.7,,,,,,,,,,,,,,,,,,
1,47,AL,Dallas County,"10,914","8,700","13,128",29.5,23.5,35.5,,,,,,,,,,,,,,,,,,
1,49,AL,DeKalb County,"13,783","11,773","15,793",19.4,16.6,22.2,,,,,,,,,,,,,,,,,,
1,51,AL,Elmore County,"10,138","8,210","12,066",12,9.7,14.3,,,,,,,,,,,,,,,,,,
1,53,AL,Escambia County,"8,147","6,711","9,583",23.8,19.6,28,,,,,,,,,,,,,,,,,,
1,55,AL,Etowah County,"17,605","14,857","20,353",17.4,14.7,20.1,,,,,,,,,,,,,,,,,,
1,57,AL,Fayette County,"3,123","2,513","3,733",19.6,15.8,23.4,,,,,,,,,,,,,,,,,,
1,59,AL,Franklin County,"5,995","4,822","7,168",18.9,15.2,22.6,,,,,,,,,,,,,,,,,,
1,61,AL,Geneva County,"5,566","4,539","6,593",21.1,17.2,25,,,,,,,,,,,,,,,,,,
1,63,AL,Greene County,"2,520","1,994","3,046",33.2,26.3,40.1,,,,,,,,,,,,,,,,,,
1,65,AL,Hale County,"3,221","2,452","3,990",22.1,16.8,27.4,,,,,,,,,,,,,,,,,,
1,67,AL,Henry County,"2,694","2,063","3,325",15.6,11.9,19.3,,,,,,,,,,,,,,,,,,
1,69,AL,Houston County,"20,210","18,330","22,090",19.1,17.3,20.9,,,,,,,,,,,,,,,,,,
1,71,AL,Jackson County,"9,851","8,426","11,276",18.9,16.2,21.6,,,,,,,,,,,,,,,,,,
1,73,AL,Jefferson County,"110,131","101,051","119,211",16.9,15.5,18.3,,,,,,,,,,,,,,,,,,
1,75,AL,Lamar County,"2,300","1,751","2,849",17,12.9,21.1,,,,,,,,,,,,,,,,,,
1,77,AL,Lauderdale County,"14,838","12,398","17,278",16.2,13.5,18.9,,,,,,,,,,,,,,,,,,
1,79,AL,Lawrence County,"4,566","3,383","5,749",13.9,10.3,17.5,,,,,,,,,,,,,,,,,,
1,81,AL,Lee County,"30,989","27,246","34,732",18,15.8,20.2,,,,,,,,,,,,,,,,,,
1,83,AL,Limestone County,"10,363","8,335","12,391",9.9,8,11.8,,,,,,,,,,,,,,,,,,
1,85,AL,Lowndes County,"2,786","2,207","3,365",28.3,22.4,34.2,,,,,,,,,,,,,,,,,,
1,87,AL,Macon County,"4,725","3,675","5,775",27.5,21.4,33.6,,,,,,,,,,,,,,,,,,
1,89,AL,Madison County,"39,316","33,460","45,172",10.2,8.7,11.7,,,,,,,,,,,,,,,,,,
1,91,AL,Marengo County,"4,602","3,718","5,486",24.6,19.9,29.3,,,,,,,,,,,,,,,,,,
1,93,AL,Marion County,"5,209","4,170","6,248",18.3,14.7,21.9,,,,,,,,,,,,,,,,,,
1,95,AL,Marshall County,"15,145","12,505","17,785",15.6,12.9,18.3,,,,,,,,,,,,,,,,,,
1,97,AL,Mobile County,"74,061","65,882","82,240",18.2,16.2,20.2,,,,,,,,,,,,,,,,,,
1,99,AL,Monroe County,"4,349","3,458","5,240",22.3,17.7,26.9,,,,,,,,,,,,,,,,,,
1,101,AL,Montgomery County,"47,309","41,969","52,649",21.7,19.3,24.1,,,,,,,,,,,,,,,,,,
1,103,AL,Morgan County,"16,459","13,612","19,306",13.5,11.2,15.8,,,,,,,,,,,,,,,,,,
1,105,AL,Perry County,"2,591","1,982","3,200",33.7,25.8,41.6,,,,,,,,,,,,,,,,,,
1,107,AL,Pickens County,"3,591","2,751","4,431",21.1,16.2,26,,,,,,,,,,,,,,,,,,
1,109,AL,Pike County,"7,429","6,243","8,615",23.9,20.1,27.7,,,,,,,,,,,,,,,,,,
1,111,AL,Randolph County,"4,652","3,872","5,432",21.5,17.9,25.1,,,,,,,,,,,,,,,,,,
1,113,AL,Russell County,"12,620","10,520","14,720",21.7,18.1,25.3,,,,,,,,,,,,,,,,,,
1,115,AL,St. Clair County,"11,652","9,443","13,861",12.8,10.4,15.2,,,,,,,,,,,,,,,,,,
1,117,AL,Shelby County,"17,306","14,397","20,215",7.7,6.4,9,,,,,,,,,,,,,,,,,,
1,119,AL,Sumter County,"4,005","3,224","4,786",35.1,28.3,41.9,,,,,,,,,,,,,,,,,,
1,121,AL,Talladega County,"14,936","12,409","17,463",19.1,15.9,22.3,,,,,,,,,,,,,,,,,,
1,123,AL,Tallapoosa County,"7,420","6,052","8,788",18.3,14.9,21.7,,,,,,,,,,,,,,,,,,
1,125,AL,Tuscaloosa County,"31,735","26,867","36,603",14.7,12.4,17,,,,,,,,,,,,,,,,,,
1,127,AL,Walker County,"12,877","10,967","14,787",20.2,17.2,23.2,,,,,,,,,,,,,,,,,,
1,129,AL,Washington County,"3,091","2,505","3,677",20.6,16.7,24.5,,,,,,,,,,,,,,,,,,
1,131,AL,Wilcox County,"3,340","2,578","4,102",32.4,25,39.8,,,,,,,,,,,,,,,,,,
1,133,AL,Winston County,"4,455","3,624","5,286",19,15.4,22.6,,,,,,,,,,,,,,,,,,
2,0,AK,Alaska,"77,736","74,178","81,294",10.8,10.3,11.3,,,,,,,,,,,,,,,,,,
2,13,AK,Aleutians East Borough,625,455,795,18.4,13.4,23.4,,,,,,,,,,,,,,,,,,
2,16,AK,Aleutians West Census Area,505,389,621,10.4,8,12.8,,,,,,,,,,,,,,,,,,
2,20,AK,Anchorage Borough,"26,920","23,537","30,303",9.5,8.3,10.7,,,,,,,,,,,,,,,,,,
2,50,AK,Bethel Census Area,"4,496","3,667","5,325",24.6,20.1,29.1,,,,,,,,,,,,,,,,,,
2,60,AK,Bristol Bay Borough,93,69,117,11.3,8.4,14.2,,,,,,,,,,,,,,,,,,
2,63,AK,Chugach Census Area,530,392,668,7.7,5.7,9.7,,,,,,,,,,,,,,,,,,
2,66,AK,Copper River Census Area,375,286,464,14.3,10.9,17.7,,,,,,,,,,,,,,,,,,
2,68,AK,Denali Borough,115,87,143,7.5,5.7,9.3,,,,,,,,,,,,,,,,,,
2,70,AK,Dillingham Census Area,"1,033",796,"1,270",21.8,16.8,26.8,,,,,,,,,,,,,,,,,,
2,90,AK,Fairbanks North Star Borough,"7,247","5,739","8,755",7.9,6.2,9.6,,,,,,,,,,,,,,,,,,
2,100,AK,Haines Borough,223,167,279,10.8,8.1,13.5,,,,,,,,,,,,,,,,,,
2,105,AK,Hoonah-Angoon Census Area,395,296,494,17,12.8,21.2,,,,,,,,,,,,,,,,,,
2,110,AK,Juneau Borough,"2,378","1,842","2,914",7.6,5.9,9.3,,,,,,,,,,,,,,,,,,
2,122,AK,Kenai Peninsula Borough,"6,729","5,506","7,952",11.5,9.4,13.6,,,,,,,,,,,,,,,,,,
2,130,AK,Ketchikan Gateway Borough,"1,529","1,250","1,808",11.3,9.2,13.4,,,,,,,,,,,,,,,,,,
2,150,AK,Kodiak Island Borough,"1,072",828,"1,316",8.5,6.6,10.4,,,,,,,,,,,,,,,,,,
